"playerID","yearID","lgID","G","AB","R","H","X2B","X3B","HR","RBI","SB","BB","HBP","SF","PA","AVG","OBP","TB","SLG","OPS","avg_percentile","obp_percentile","slg_percentile","ops_percentile","h_percentile","hr_percentile","rbi_percentile","r_percentile","sb_percentile","decade"
"bondsba01",1990,"NL",151,519,104,156,32,3,33,114,52,93,3,6,621,0.300578034682081,0.405797101449275,293,0.564547206165703,0.970344307614979,0.888235294117647,0.970588235294118,1,0.994117647058824,0.9,0.979411764705882,0.982352941176471,0.967647058823529,0.988235294117647,1990
"bondsba01",1992,"NL",140,473,109,147,36,5,34,103,39,127,5,7,612,0.310782241014799,0.455882352941176,295,0.623678646934461,1.07956099987564,0.950819672131147,1,1,1,0.852459016393443,0.994535519125683,0.983606557377049,1,0.956284153005464,1990
"bondsba01",1993,"NL",159,539,129,181,38,4,46,123,29,126,2,7,674,0.335807050092764,0.458456973293769,365,0.677179962894249,1.13563693618802,0.969230769230769,0.994871794871795,1,1,0.966666666666667,1,1,0.994871794871795,0.925641025641026,1990
"bondsba01",2001,"NL",153,476,129,156,32,2,73,137,13,177,9,2,664,0.327731092436975,0.515060240963855,411,0.863445378151261,1.37850561911512,0.9625,1,1,1,0.84375,1,0.9875,0.991666666666667,0.866666666666667,2000
"bondsba01",2002,"NL",143,403,117,149,31,2,46,110,9,198,9,2,612,0.369727047146402,0.581699346405229,322,0.799007444168734,1.38070679057396,1,1,1,1,0.831896551724138,0.995689655172414,0.976293103448276,0.991379310344828,0.801724137931034,2000
"bondsba01",2003,"NL",130,390,111,133,22,1,45,90,7,148,10,2,550,0.341025641025641,0.529090909090909,292,0.748717948717949,1.27780885780886,0.987179487179487,1,1,1,0.745726495726496,0.993589743589744,0.901709401709402,0.980769230769231,0.762820512820513,2000
"bondsba01",2004,"NL",147,373,129,135,27,3,45,101,6,232,9,3,617,0.361930294906166,0.609400324149109,303,0.812332439678284,1.42173276382739,1,1,1,1,0.727272727272727,0.987012987012987,0.930735930735931,0.995670995670996,0.748917748917749,2000
"bottoji01",1928,"NL",149,576,123,187,42,20,31,136,10,71,3,0,650,0.324652777777778,0.401538461538462,362,0.628472222222222,1.03001068376068,0.882882882882883,0.927927927927928,0.990990990990991,0.990990990990991,0.918918918918919,0.995495495495496,1,0.990990990990991,0.855855855855856,1920
"boudrlo01",1948,"AL",152,560,116,199,34,6,18,106,3,98,2,0,660,0.355357142857143,0.453030303030303,299,0.533928571428571,0.986958874458874,0.990566037735849,0.990566037735849,0.971698113207547,0.981132075471698,0.981132075471698,0.915094339622642,0.933962264150943,0.962264150943396,0.64622641509434,1940
"boyerke01",1964,"NL",162,628,100,185,30,10,24,119,3,70,2,4,704,0.294585987261146,0.365056818181818,307,0.488853503184713,0.853910321366532,0.848920863309353,0.913669064748201,0.899280575539568,0.928057553956835,0.931654676258993,0.935251798561151,1,0.953237410071942,0.58273381294964,1960
