"current_game_id","team","opponent","role","player_id","player_name","games","plate_appearances","hits","doubles","triples","home_runs","runs_batted_in","walks","strikeouts","innings_outs","report_date","source_through","generated_at_utc","method"
"824785","Toronto Blue Jays","Baltimore Orioles","Hitter","672386","Alejandro Kirk",1,4,1,0,0,0,0,1,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Toronto Blue Jays","Baltimore Orioles","Hitter","672960","Kazuma Okamoto",1,4,1,0,0,0,0,0,1,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Toronto Blue Jays","Baltimore Orioles","Hitter","664702","Myles Straw",1,2,0,0,0,0,0,0,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Toronto Blue Jays","Baltimore Orioles","Hitter","669701","Josh Smith",1,4,0,0,0,0,0,0,1,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Toronto Blue Jays","Baltimore Orioles","Hitter","676391","Ernie Clement",1,3,0,0,0,0,0,0,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Toronto Blue Jays","Baltimore Orioles","Hitter","703520","Brett Bateman",1,2,0,0,0,0,0,1,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Toronto Blue Jays","Baltimore Orioles","Hitter","815873","Sean Keys",1,4,0,0,0,0,1,0,2,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Toronto Blue Jays","Baltimore Orioles","Pitcher","689149","Chad Dallas",1,,,,,,,1,4,8,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Toronto Blue Jays","Baltimore Orioles","Pitcher","676454","Brendan Cellucci",1,,,,,,,0,3,4,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Toronto Blue Jays","Baltimore Orioles","Pitcher","702056","Trey Yesavage",1,,,,,,,0,3,6,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Toronto Blue Jays","Baltimore Orioles","Pitcher","643511","Tyler Rogers",1,,,,,,,0,0,1,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Toronto Blue Jays","Baltimore Orioles","Pitcher","689254","Mason Fluharty",1,,,,,,,1,0,2,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Toronto Blue Jays","Baltimore Orioles","Pitcher","692064","José Rodríguez",1,,,,,,,0,0,3,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
